#source: https://www.meteoblue.com/en/weather/archive/export/basel_switzerland_2661604
#location,Basel,Basel,Basel,Basel
#lat,47.54694,47.54694,47.54694,47.54694
#lon,7.56892,7.56892,7.56892,7.56892
#asl,283.697,283.697,283.697,283.697
#variable,Wind Speed,Wind Direction,Wind Speed,Wind Direction
#unit,km/h,°,km/h,°
#level,900 mb,900 mb,500 mb,500 mb
#resolution,hourly,hourly,hourly,hourly
#aggregation,None,None,None,None
timestamp,Basel Wind Speed [900 mb],Basel Wind Direction [900 mb],Basel Wind Speed [500 mb],Basel Wind Direction [500 mb]
20200916T0500,4.3349743,48.366455,14.529915,138.01279
20200916T0600,5.00128,59.74356,16.179987,122.27564
20200916T0700,3.4152596,71.56504,17.551615,115.51386
20200916T0800,1.9386592,68.19859,17.873554,108.79989
20200916T0900,1.835647,11.309921,19.211996,102.99461
20200916T1000,3.7585104,16.69925,20.774214,98.97262
20200916T1100,6.638072,40.601288,20.478907,100.124664
20200916T1200,9.360001,67.380135,19.829433,93.12212
20200916T1300,9.114471,80.90972,16.923828,91.218864
20200916T1400,9.779817,353.65985,5.7599998,89.99999
20200916T1500,10.24578,18.434952,3.0758414,20.556046
20200916T1600,15.496736,30.735489,5.7599998,360.0
20200916T1700,17.873556,27.59729,10.948973,350.5377
20200916T1800,15.484185,35.53766,13.004921,355.23636
20200916T1900,13.324863,38.418045,14.618837,350.0738
20200916T2000,10.966713,23.198593,18.161278,346.2392
20200916T2100,18.278645,32.124985,18.775301,355.60132
20200916T2200,18.514643,26.565033,23.377836,9.752426
20200916T2300,29.363731,40.5251,25.49908,13.055237
20200917T0000,32.839027,45.444138,26.019806,14.420761
20200917T0100,28.58545,53.70736,27.852928,14.215851
20200917T0200,24.442913,46.19348,30.599998,53.130096
20200917T0300,23.584808,58.736267,24.798225,27.681046
20200917T0400,25.772078,61.645027,16.299694,30.529694
20200917T0500,21.53089,69.443954,12.88981,35.909714
20200917T0600,18.0,73.73979,13.854155,24.56717
20200917T0700,16.418526,74.74488,16.862455,16.113419
20200917T0800,15.273505,81.869896,16.862455,16.113419
20200917T0900,15.856356,87.39744,17.208603,15.780746
20200917T1000,17.28,89.99999,16.454008,10.080597
20200917T1100,19.443333,88.93908,14.799459,18.434952
20200917T1200,22.033648,85.3141,14.57889,32.905228
20200917T1300,23.377836,80.247574,14.904173,37.146683
20200917T1400,20.730501,69.67686,8.209263,52.125
20200917T1500,17.76081,72.29957,6.989936,55.491463
20200917T1600,18.345877,74.054596,5.3517847,70.346176
20200917T1700,25.959969,70.55996,5.3999996,89.99999
20200917T1800,24.72495,73.94001,6.28713,103.24051
20200917T1900,31.559088,78.81824,7.5685663,115.34617
20200917T2000,41.085762,81.940895,6.9247384,117.89726
20200917T2100,45.81062,93.60441,5.2416787,105.9454
20200917T2200,52.852608,99.0132,5.771239,93.576324
20200917T2300,50.975285,100.99251,7.072878,75.25644
20200918T0000,50.84291,100.195984,9.565437,70.20111
20200918T0100,50.200314,100.74586,12.661564,75.17352
20200918T0200,49.493126,100.90126,15.745627,79.460815
20200918T0300,43.422924,101.96204,19.8,89.99999
20200918T0400,33.280045,105.689995,22.862125,97.236916
20200918T0500,26.282465,103.46521,24.993439,101.63363
20200918T0600,23.535301,96.14662,27.504095,104.40002
20200918T0700,23.444265,93.521454,31.104082,106.12757
20200918T0800,20.674158,97.00127,34.494312,108.24586
20200918T0900,14.372974,112.0679,38.439167,112.000694
20200918T1000,10.009036,127.69424,41.216457,117.012665
20200918T1100,6.696387,143.74615,41.4438,122.5857
20200918T1200,4.072935,135.0,40.608257,127.073074
20200918T1300,3.9763298,95.19443,38.813274,130.48601
20200918T1400,4.32,89.99999,5.6002855,135.0
20200918T1500,5.4477882,97.59464,8.669949,131.63353
20200918T1600,7.2805495,98.53076,10.691453,135.0
20200918T1700,9.007196,87.70938,12.475961,133.83086
20200918T1800,11.885453,88.26429,14.264361,137.04541
20200918T1900,18.057508,94.57392,13.53236,151.38954
20200918T2000,22.553936,98.25943,11.384199,161.56505
20200918T2100,21.868332,110.22485,10.636766,156.0375
20200918T2200,18.692286,105.64224,12.24,151.9275
20200918T2300,18.947083,104.30027,14.33234,154.72227
20200919T0000,17.026896,103.44861,15.778518,152.85031
20200919T0100,13.910169,100.43748,16.434305,151.18921
20200919T0200,12.496719,101.63363,19.201874,149.58891
20200919T0300,11.720751,100.61965,21.749481,155.55605
20200919T0400,9.531505,100.88553,22.450264,164.1808
20200919T0500,6.638072,102.52881,22.553936,171.74055
20200919T0600,1.835647,101.30993,21.96295,180.9392
20200919T0700,5.154415,294.77515,19.083395,181.08092
20200919T0800,11.770403,293.4287,19.917469,186.22583
20200919T0900,16.595179,294.3411,21.03152,186.88173
20200919T1000,16.595179,310.60132,21.626984,182.86241
20200919T1100,13.276144,347.4712,20.519999,180.0
20200919T1200,14.830076,5.5721893,20.188908,176.93352
20200919T1300,19.201874,6.4588013,18.844202,173.41806
20200919T1400,11.440979,335.85446,27.841293,220.27986
20200919T1500,11.165805,20.772247,28.856194,213.29356
20200919T1600,14.934577,15.376251,33.71338,210.12431
20200919T1700,11.966954,46.218872,31.981293,211.18497
20200919T1800,9.422101,83.41805,27.238943,224.46454
20200919T1900,8.707237,119.74488,20.288164,242.52557
20200919T2000,8.225035,113.19859,15.484185,234.46233
20200919T2100,10.587917,107.818886,10.00256,239.74356
20200919T2200,11.384199,108.434944,10.233123,219.28941
20200919T2300,9.885262,100.49147,11.525623,194.47029
20200920T0000,6.9899354,101.88866,13.324863,181.54816
20200920T0100,4.32,89.99999,15.158522,175.91438
20200920T0200,3.0758414,69.443954,16.65754,173.79655
20200920T0300,2.7416782,23.198593,17.673029,176.49648
20200920T0400,4.1046314,344.74487,17.294992,182.38594
20200920T0500,5.3517847,340.3462,16.62249,175.03026
20200920T0600,6.924738,351.02737,14.917212,171.67435
20200920T0700,7.5170207,16.69925,14.408997,167.00539
20200920T0800,7.9932966,35.837646,14.264361,169.8245
20200920T0900,7.386582,43.025055,12.313893,164.74487
20200920T1000,8.049845,63.43495,9.227524,159.44395
20200920T1100,7.928178,87.39744,7.2,143.1301
20200920T1200,6.725354,105.5241,8.891343,121.759476
20200920T1300,4.0249224,63.43495,10.144082,117.474434
20200920T1400,4.73506,351.25385,11.013882,101.30993
20200920T1500,9.3876505,355.60132,8.707238,97.125015
20200920T1600,13.207634,342.5528,8.287822,92.48955
20200920T1700,16.394829,340.76935,10.08,89.99999
20200920T1800,16.981165,338.8753,12.620554,86.72951
20200920T1900,17.414474,330.25513,14.759999,89.99999
20200920T2000,18.875126,325.0975,13.679999,89.99999
20200920T2100,19.171478,325.71313,14.154915,82.694244
20200920T2200,20.969807,325.4915,17.414476,82.874985
20200920T2300,24.063513,321.07245,19.469976,86.82017
20200921T0000,26.42753,307.80652,19.45333,92.12109
20200921T0100,26.886963,296.222,15.484185,107.59242
20200921T0200,24.36325,288.9704,11.841756,109.53665
20200921T0300,23.40277,270.8814,11.165805,110.772255
